SectorID	SectorName	IndustryID	IndustryName	JobName	JobNumbers	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623100	Nursing Care Facilities (Skilled Nursing Facilities)	Laundry and Dry-Cleaning Workers	"27,130"										
56	Administrative and Support and Waste Management and Remediation Services	561100	Office Administrative Services	"Bookkeeping, Accounting, and Auditing Clerks"	"27,100"										
48-49	Transportation and Warehousing	484100	General Freight Trucking	"Dispatchers, Except Police, Fire, and Ambulance"	"27,030"										
54	"Professional, Scientific, and Technical Services"	541600	"Management, Scientific, and Technical Consulting Services"	Accountants and Auditors	"27,030"										
52	Finance and Insurance	522200	Nondepository Credit Intermediation	First-Line Supervisors of Office and Administrative Support Workers	"27,000"										
44-45	Retail Trade	446100	Health and Personal Care Stores	Pharmacy Aides	"26,950"										
31-33	Manufacturing	332900	Other Fabricated Metal Product Manufacturing	Team Assemblers	"26,940"										
42	Wholesale Trade	425100	Wholesale Electronic Markets and Agents and Brokers	General and Operations Managers	"26,860"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621300	Offices of Other Health Practitioners	Chiropractors	"26,830"										
23	Construction	237100	Utility System Construction	Electrical Power-Line Installers and Repairers	"26,810"										
31-33	Manufacturing	333500	Metalworking Machinery Manufacturing	Machinists	"26,780"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"	"26,780"										
72	Accommodation and Food Services	722300	Special Food Services	Cashiers	"26,770"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622200	"Psychiatric and Substance Abuse Hospitals (including private, state, and local government hospitals)"	Psychiatric Aides	"26,750"										
56	Administrative and Support and Waste Management and Remediation Services	561700	Services to Buildings and Dwellings	"Sales Representatives, Services, All Other"	"26,730"										
23	Construction	236100	Residential Building Construction	"Office Clerks, General"	"26,650"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Light Truck or Delivery Services Drivers	"26,630"										
51	Information	517200	Wireless Telecommunications Carriers (except Satellite)	Customer Service Representatives	"26,450"										
42	Wholesale Trade	424400	Grocery and Related Product Merchant Wholesalers	"Packers and Packagers, Hand"	"26,430"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621300	Offices of Other Health Practitioners	Physical Therapist Aides	"26,410"										
31-33	Manufacturing	333400	"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"	Team Assemblers	"26,370"										
54	"Professional, Scientific, and Technical Services"	541400	Specialized Design Services	Graphic Designers	"26,350"										
42	Wholesale Trade	425100	Wholesale Electronic Markets and Agents and Brokers	"Laborers and Freight, Stock, and Material Movers, Hand"	"26,330"										
54	"Professional, Scientific, and Technical Services"	541900	"Other Professional, Scientific, and Technical Services"	Nonfarm Animal Caretakers	"26,260"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624100	Individual and Family Services	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"26,240"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621300	Offices of Other Health Practitioners	"Opticians, Dispensing"	"26,160"										
56	Administrative and Support and Waste Management and Remediation Services	561100	Office Administrative Services	General and Operations Managers	"26,080"										
44-45	Retail Trade	441100	Automobile Dealers	"Bookkeeping, Accounting, and Auditing Clerks"	"26,050"										
44-45	Retail Trade	445300	"Beer, Wine, and Liquor Stores"	Retail Salespersons	"25,890"										
48-49	Transportation and Warehousing	481100	Scheduled Air Transportation	Aircraft Mechanics and Service Technicians	"25,880"										
71	"Arts, Entertainment, and Recreation"	713900	Other Amusement and Recreation Industries	Bartenders	"25,870"										
48-49	Transportation and Warehousing	484200	Specialized Freight Trucking	Light Truck or Delivery Services Drivers	"25,870"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	Structural Metal Fabricators and Fitters	"25,750"										
23	Construction	238900	Other Specialty Trade Contractors	Cement Masons and Concrete Finishers	"25,710"										
23	Construction	238100	"Foundation, Structure, and Building Exterior Contractors"	Structural Iron and Steel Workers	"25,670"										
44-45	Retail Trade	444100	Building Material and Supplies Dealers	Light Truck or Delivery Services Drivers	"25,610"										
48-49	Transportation and Warehousing	485100	Urban Transit Systems	"Bus Drivers, Transit and Intercity"	"25,500"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	Farm Equipment Mechanics and Service Technicians	"25,300"										
31-33	Manufacturing	333100	"Agriculture, Construction, and Mining Machinery Manufacturing"	"Welders, Cutters, Solderers, and Brazers"	"25,230"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	"Laborers and Freight, Stock, and Material Movers, Hand"	"25,130"										
52	Finance and Insurance	522300	Activities Related to Credit Intermediation	Loan Interviewers and Clerks	"25,100"										
42	Wholesale Trade	424100	Paper and Paper Product Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"25,090"										
54	"Professional, Scientific, and Technical Services"	541800	"Advertising, Public Relations, and Related Services"	Demonstrators and Product Promoters	"24,990"										
48-49	Transportation and Warehousing	492100	Couriers and Express Delivery Services	Heavy and Tractor-Trailer Truck Drivers	"24,850"										
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	"Title Examiners, Abstractors, and Searchers"	"24,850"										
44-45	Retail Trade	447100	Gasoline Stations	Automotive and Watercraft Service Attendants	"24,770"										
23	Construction	237900	Other Heavy and Civil Engineering Construction	Construction Laborers	"24,710"										
81	"Other Services (except Federal, State, and Local Government)"	813900	"Business, Professional, Labor, Political, and Similar Organizations"	"Business Operations Specialists, All Other"	"24,640"										
31-33	Manufacturing	311600	Animal Slaughtering and Processing	"Packers and Packagers, Hand"	"24,560"										
56	Administrative and Support and Waste Management and Remediation Services	562900	Remediation and Other Waste Management Services	Hazardous Materials Removal Workers	"24,560"										
53	Real Estate and Rental and Leasing	531300	Activities Related to Real Estate	Appraisers and Assessors of Real Estate	"24,490"										
61	"Educational Services (including private, state, and local government schools)"	611200	"Junior Colleges (including private, state, and local government schools)"	"Mathematical Science Teachers, Postsecondary"	"24,460"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	Team Assemblers	"24,440"										
42	Wholesale Trade	424400	Grocery and Related Product Merchant Wholesalers	Industrial Truck and Tractor Operators	"24,330"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622200	"Psychiatric and Substance Abuse Hospitals (including private, state, and local government hospitals)"	Psychiatric Technicians	"24,300"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	General and Operations Managers	"24,250"										
52	Finance and Insurance	522300	Activities Related to Credit Intermediation	Tellers	"24,190"										
44-45	Retail Trade	443100	Electronics and Appliance Stores	Customer Service Representatives	"24,170"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Mental Health Counselors	"24,110"										
44-45	Retail Trade	453900	Other Miscellaneous Store Retailers	First-Line Supervisors of Retail Sales Workers	"24,020"										
81	"Other Services (except Federal, State, and Local Government)"	812100	Personal Care Services	Skincare Specialists	"24,010"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	"Office Clerks, General"	"23,980"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621600	Home Health Care Services	Physical Therapists	"23,970"										
52	Finance and Insurance	524100	Insurance Carriers	"Software Developers, Applications"	"23,970"										
56	Administrative and Support and Waste Management and Remediation Services	561600	Investigation and Security Services	"First-Line Supervisors of Protective Service Workers, All Other"	"23,940"										
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	"Bookkeeping, Accounting, and Auditing Clerks"	"23,930"										
52	Finance and Insurance	523900	Other Financial Investment Activities	Accountants and Auditors	"23,820"										
81	"Other Services (except Federal, State, and Local Government)"	812200	Death Care Services	"Morticians, Undertakers, and Funeral Directors"	"23,760"										
52	Finance and Insurance	523900	Other Financial Investment Activities	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"23,740"										
72	Accommodation and Food Services	722300	Special Food Services	Dining Room and Cafeteria Attendants and Bartender Helpers	"23,700"										
31-33	Manufacturing	311600	Animal Slaughtering and Processing	"Laborers and Freight, Stock, and Material Movers, Hand"	"23,690"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624300	Vocational Rehabilitation Services	Social and Human Service Assistants	"23,550"										
51	Information	518200	"Data Processing, Hosting, and Related Services"	Customer Service Representatives	"23,510"										
31-33	Manufacturing	326100	Plastics Product Manufacturing	First-Line Supervisors of Production and Operating Workers	"23,460"										
23	Construction	237300	"Highway, Street, and Bridge Construction"	First-Line Supervisors of Construction Trades and Extraction Workers	"23,420"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623200	"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities"	Residential Advisors	"23,410"										
56	Administrative and Support and Waste Management and Remediation Services	561400	Business Support Services	"Sales Representatives, Services, All Other"	"23,400"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	Industrial Machinery Mechanics	"23,350"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	Clergy	"23,320"										
44-45	Retail Trade	452100	Department Stores	First-Line Supervisors of Office and Administrative Support Workers	"23,270"										
54	"Professional, Scientific, and Technical Services"	541600	"Management, Scientific, and Technical Consulting Services"	"Software Developers, Applications"	"23,250"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621200	Offices of Dentists	First-Line Supervisors of Office and Administrative Support Workers	"23,150"										
44-45	Retail Trade	446100	Health and Personal Care Stores	"Opticians, Dispensing"	"23,130"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624100	Individual and Family Services	Recreation Workers	"23,130"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624100	Individual and Family Services	Mental Health Counselors	"23,110"										
31-33	Manufacturing	326100	Plastics Product Manufacturing	"Packers and Packagers, Hand"	"23,080"										
31-33	Manufacturing	311800	Bakeries and Tortilla Manufacturing	Food Batchmakers	"23,020"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	"Health Technologists and Technicians, All Other"	"22,910"										
42	Wholesale Trade	424700	Petroleum and Petroleum Products Merchant Wholesalers	Heavy and Tractor-Trailer Truck Drivers	"22,800"										
61	"Educational Services (including private, state, and local government schools)"	611200	"Junior Colleges (including private, state, and local government schools)"	"Education Administrators, Postsecondary"	"22,740"										
23	Construction	238300	Building Finishing Contractors	Tile and Marble Setters	"22,710"										
81	"Other Services (except Federal, State, and Local Government)"	811100	Automotive Repair and Maintenance	"Painters, Transportation Equipment"	"22,680"										
31-33	Manufacturing	325400	Pharmaceutical and Medicine Manufacturing	Packaging and Filling Machine Operators and Tenders	"22,670"										
53	Real Estate and Rental and Leasing	531200	Offices of Real Estate Agents and Brokers	Real Estate Brokers	"22,650"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Mental Health and Substance Abuse Social Workers	"22,570"										
44-45	Retail Trade	443100	Electronics and Appliance Stores	"Computer, Automated Teller, and Office Machine Repairers"	"22,560"										
48-49	Transportation and Warehousing	481100	Scheduled Air Transportation	"Laborers and Freight, Stock, and Material Movers, Hand"	"22,550"										
31-33	Manufacturing	311400	Fruit and Vegetable Preserving and Specialty Food Manufacturing	Packaging and Filling Machine Operators and Tenders	"22,540"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	Team Assemblers	"22,490"										
81	"Other Services (except Federal, State, and Local Government)"	813900	"Business, Professional, Labor, Political, and Similar Organizations"	General and Operations Managers	"22,420"										
42	Wholesale Trade	425100	Wholesale Electronic Markets and Agents and Brokers	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"22,420"										
51	Information	517200	Wireless Telecommunications Carriers (except Satellite)	"Sales Representatives, Services, All Other"	"22,350"										
31-33	Manufacturing	323100	Printing and Related Support Activities	Customer Service Representatives	"22,310"										
51	Information	519100	Other Information Services	"Software Developers, Applications"	"22,300"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624100	Individual and Family Services	Nursing Assistants	"22,280"										
53	Real Estate and Rental and Leasing	531300	Activities Related to Real Estate	"Bookkeeping, Accounting, and Auditing Clerks"	"22,260"										
42	Wholesale Trade	423400	Professional and Commercial Equipment and Supplies Merchant Wholesalers	Computer User Support Specialists	"22,260"										
48-49	Transportation and Warehousing	493100	Warehousing and Storage	"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"	"22,220"										
51	Information	515100	Radio and Television Broadcasting	Producers and Directors	"22,200"										
48-49	Transportation and Warehousing	482100	Rail Transportation	"Railroad Brake, Signal, and Switch Operators"	"22,200"										
52	Finance and Insurance	524200	"Agencies, Brokerages, and Other Insurance Related Activities"	General and Operations Managers	"22,020"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621600	Home Health Care Services	"Office Clerks, General"	"21,980"										
56	Administrative and Support and Waste Management and Remediation Services	561900	Other Support Services	"Laborers and Freight, Stock, and Material Movers, Hand"	"21,960"										
61	"Educational Services (including private, state, and local government schools)"	611200	"Junior Colleges (including private, state, and local government schools)"	"Business Teachers, Postsecondary"	"21,930"										
81	"Other Services (except Federal, State, and Local Government)"	813900	"Business, Professional, Labor, Political, and Similar Organizations"	"Office Clerks, General"	"21,910"										
31-33	Manufacturing	323100	Printing and Related Support Activities	Prepress Technicians and Workers	"21,870"										
54	"Professional, Scientific, and Technical Services"	541200	"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"	Financial Managers	"21,860"										
21	Mining	213100	Support Activities for Mining	Heavy and Tractor-Trailer Truck Drivers	"21,790"										
23	Construction	237300	"Highway, Street, and Bridge Construction"	Heavy and Tractor-Trailer Truck Drivers	"21,750"										
31-33	Manufacturing	322100	"Pulp, Paper, and Paperboard Mills"	"Paper Goods Machine Setters, Operators, and Tenders"	"21,710"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623900	Other Residential Care Facilities	Childcare Workers	"21,680"										
52	Finance and Insurance	524200	"Agencies, Brokerages, and Other Insurance Related Activities"	First-Line Supervisors of Office and Administrative Support Workers	"21,570"										
44-45	Retail Trade	444100	Building Material and Supplies Dealers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"21,540"										
56	Administrative and Support and Waste Management and Remediation Services	561200	Facilities Support Services	Correctional Officers and Jailers	"21,480"										
48-49	Transportation and Warehousing	484100	General Freight Trucking	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	"21,430"										
48-49	Transportation and Warehousing	488300	Support Activities for Water Transportation	"Laborers and Freight, Stock, and Material Movers, Hand"	"21,420"										
48-49	Transportation and Warehousing	492100	Couriers and Express Delivery Services	"Shipping, Receiving, and Traffic Clerks"	"21,390"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	"Laborers and Freight, Stock, and Material Movers, Hand"	"21,380"										
54	"Professional, Scientific, and Technical Services"	541900	"Other Professional, Scientific, and Technical Services"	"Office Clerks, General"	"21,340"										
56	Administrative and Support and Waste Management and Remediation Services	561400	Business Support Services	"Office Clerks, General"	"21,220"										
31-33	Manufacturing	336300	Motor Vehicle Parts Manufacturing	Machinists	"21,150"										
31-33	Manufacturing	326100	Plastics Product Manufacturing	"Inspectors, Testers, Sorters, Samplers, and Weighers"	"21,150"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622300	"Specialty (except Psychiatric and Substance Abuse) Hospitals (including private, state, and local government hospitals)"	Nursing Assistants	"21,080"										
48-49	Transportation and Warehousing	493100	Warehousing and Storage	Machine Feeders and Offbearers	"21,080"										
23	Construction	236100	Residential Building Construction	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"21,060"										
54	"Professional, Scientific, and Technical Services"	541800	"Advertising, Public Relations, and Related Services"	Graphic Designers	"21,040"										
61	"Educational Services (including private, state, and local government schools)"	611200	"Junior Colleges (including private, state, and local government schools)"	"Health Specialties Teachers, Postsecondary"	"20,980"										
81	"Other Services (except Federal, State, and Local Government)"	813400	Civic and Social Organizations	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	"20,850"										
21	Mining	213100	Support Activities for Mining	"Rotary Drill Operators, Oil and Gas"	"20,830"										
52	Finance and Insurance	524200	"Agencies, Brokerages, and Other Insurance Related Activities"	"Bookkeeping, Accounting, and Auditing Clerks"	"20,790"										
31-33	Manufacturing	312100	Beverage Manufacturing	Packaging and Filling Machine Operators and Tenders	"20,790"										
53	Real Estate and Rental and Leasing	531100	Lessors of Real Estate	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"20,720"										
51	Information	511100	"Newspaper, Periodical, Book, and Directory Publishers"	Graphic Designers	"20,670"										
23	Construction	238300	Building Finishing Contractors	"Office Clerks, General"	"20,650"										
71	"Arts, Entertainment, and Recreation"	711100	Performing Arts Companies	Musicians and Singers	"20,650"										
51	Information	511200	Software Publishers	Computer Programmers	"20,630"										
11	"Agriculture, Forestry, Fishing and Hunting"	113300	Logging	Logging Equipment Operators	"20,600"										
56	Administrative and Support and Waste Management and Remediation Services	561100	Office Administrative Services	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"20,590"										
31-33	Manufacturing	336400	Aerospace Product and Parts Manufacturing	"Inspectors, Testers, Sorters, Samplers, and Weighers"	"20,580"										
44-45	Retail Trade	454100	Electronic Shopping and Mail-Order Houses	"Shipping, Receiving, and Traffic Clerks"	"20,580"										
31-33	Manufacturing	324100	Petroleum and Coal Products Manufacturing	"Petroleum Pump System Operators, Refinery Operators, and Gaugers"	"20,580"										
52	Finance and Insurance	523100	Securities and Commodity Contracts Intermediation and Brokerage	Financial Analysts	"20,580"										
52	Finance and Insurance	523100	Securities and Commodity Contracts Intermediation and Brokerage	"Office Clerks, General"	"20,520"										
31-33	Manufacturing	334500	"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"	Team Assemblers	"20,500"										
61	"Educational Services (including private, state, and local government schools)"	611200	"Junior Colleges (including private, state, and local government schools)"	"Nursing Instructors and Teachers, Postsecondary"	"20,470"										
31-33	Manufacturing	334400	Semiconductor and Other Electronic Component Manufacturing	Semiconductor Processors	"20,390"										
31-33	Manufacturing	332800	"Coating, Engraving, Heat Treating, and Allied Activities"	"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"	"20,370"										
31-33	Manufacturing	311900	Other Food Manufacturing	Packaging and Filling Machine Operators and Tenders	"20,300"										
31-33	Manufacturing	314900	Other Textile Product Mills	Sewing Machine Operators	"20,300"										
81	"Other Services (except Federal, State, and Local Government)"	811100	Automotive Repair and Maintenance	Bus and Truck Mechanics and Diesel Engine Specialists	"20,290"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Bus and Truck Mechanics and Diesel Engine Specialists	"20,290"										
56	Administrative and Support and Waste Management and Remediation Services	561100	Office Administrative Services	Accountants and Auditors	"20,270"										
23	Construction	236200	Nonresidential Building Construction	Cost Estimators	"20,230"										
42	Wholesale Trade	423300	Lumber and Other Construction Materials Merchant Wholesalers	"Laborers and Freight, Stock, and Material Movers, Hand"	"20,200"										
42	Wholesale Trade	424300	"Apparel, Piece Goods, and Notions Merchant Wholesalers"	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"20,170"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	Parts Salespersons	"20,170"										
48-49	Transportation and Warehousing	484100	General Freight Trucking	"Office Clerks, General"	"20,120"										
51	Information	512100	Motion Picture and Video Industries	Cashiers	"20,100"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Substance Abuse and Behavioral Disorder Counselors	"20,090"										
54	"Professional, Scientific, and Technical Services"	541700	Scientific Research and Development Services	Biological Technicians	"20,010"										
51	Information	515100	Radio and Television Broadcasting	Broadcast Technicians	"19,930"										
44-45	Retail Trade	452100	Department Stores	Customer Service Representatives	"19,920"										
31-33	Manufacturing	336400	Aerospace Product and Parts Manufacturing	Industrial Engineers	"19,870"										
48-49	Transportation and Warehousing	485900	Other Transit and Ground Passenger Transportation	Taxi Drivers and Chauffeurs	"19,840"										
44-45	Retail Trade	452100	Department Stores	Security Guards	"19,760"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	Sheet Metal Workers	"19,730"										
22	Utilities	221100	"Electric Power Generation, Transmission and Distribution"	Customer Service Representatives	"19,710"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Medical Secretaries	"19,680"										
81	"Other Services (except Federal, State, and Local Government)"	811100	Automotive Repair and Maintenance	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"19,660"										
42	Wholesale Trade	423500	Metal and Mineral (except Petroleum) Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"19,650"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Licensed Practical and Licensed Vocational Nurses	"19,620"										
54	"Professional, Scientific, and Technical Services"	541800	"Advertising, Public Relations, and Related Services"	Market Research Analysts and Marketing Specialists	"19,590"										
42	Wholesale Trade	423200	Furniture and Home Furnishing Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"19,590"										
31-33	Manufacturing	323100	Printing and Related Support Activities	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"19,550"										
42	Wholesale Trade	424600	Chemical and Allied Products Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"19,510"										
44-45	Retail Trade	452100	Department Stores	"Shipping, Receiving, and Traffic Clerks"	"19,500"										
31-33	Manufacturing	334100	Computer and Peripheral Equipment Manufacturing	"Software Developers, Systems Software"	"19,380"										
21	Mining	213100	Support Activities for Mining	First-Line Supervisors of Construction Trades and Extraction Workers	"19,350"										
23	Construction	237300	"Highway, Street, and Bridge Construction"	"Paving, Surfacing, and Tamping Equipment Operators"	"19,310"										
44-45	Retail Trade	451200	Book Stores and News Dealers	Cashiers	"19,270"										
72	Accommodation and Food Services	722400	Drinking Places (Alcoholic Beverages)	Security Guards	"19,270"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Parts Salespersons	"19,270"										
44-45	Retail Trade	447100	Gasoline Stations	Automotive Service Technicians and Mechanics	"19,230"										
81	"Other Services (except Federal, State, and Local Government)"	811100	Automotive Repair and Maintenance	General and Operations Managers	"19,190"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621400	Outpatient Care Centers	Receptionists and Information Clerks	"19,170"										
31-33	Manufacturing	336400	Aerospace Product and Parts Manufacturing	Machinists	"19,120"										
44-45	Retail Trade	442100	Furniture Stores	"Laborers and Freight, Stock, and Material Movers, Hand"	"19,110"										
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	First-Line Supervisors of Office and Administrative Support Workers	"19,070"										
23	Construction	236200	Nonresidential Building Construction	General and Operations Managers	"19,040"										
81	"Other Services (except Federal, State, and Local Government)"	813900	"Business, Professional, Labor, Political, and Similar Organizations"	Public Relations Specialists	"19,000"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623200	"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities"	Substance Abuse and Behavioral Disorder Counselors	"19,000"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	Customer Service Representatives	"18,980"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621900	Other Ambulatory Health Care Services	Phlebotomists	"18,960"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621200	Offices of Dentists	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"18,940"										
31-33	Manufacturing	311600	Animal Slaughtering and Processing	Packaging and Filling Machine Operators and Tenders	"18,930"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624200	"Community Food and Housing, and Emergency and Other Relief Services"	Social and Human Service Assistants	"18,910"										
44-45	Retail Trade	444100	Building Material and Supplies Dealers	General and Operations Managers	"18,890"										
72	Accommodation and Food Services	722400	Drinking Places (Alcoholic Beverages)	First-Line Supervisors of Food Preparation and Serving Workers	"18,880"										
51	Information	511200	Software Publishers	Computer User Support Specialists	"18,880"										
31-33	Manufacturing	311600	Animal Slaughtering and Processing	Helpers--Production Workers	"18,810"										
44-45	Retail Trade	444100	Building Material and Supplies Dealers	"Shipping, Receiving, and Traffic Clerks"	"18,780"										
31-33	Manufacturing	335300	Electrical Equipment Manufacturing	Electrical and Electronic Equipment Assemblers	"18,780"										
51	Information	511200	Software Publishers	"Software Developers, Systems Software"	"18,750"										
42	Wholesale Trade	423800	"Machinery, Equipment, and Supplies Merchant Wholesalers"	"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"	"18,650"										
51	Information	517100	Wired Telecommunications Carriers	"Business Operations Specialists, All Other"	"18,610"										
23	Construction	238100	"Foundation, Structure, and Building Exterior Contractors"	"Office Clerks, General"	"18,600"										
42	Wholesale Trade	423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"	"18,480"										
56	Administrative and Support and Waste Management and Remediation Services	561500	Travel Arrangement and Reservation Services	Reservation and Transportation Ticket Agents and Travel Clerks	"18,450"										
48-49	Transportation and Warehousing	484100	General Freight Trucking	Industrial Truck and Tractor Operators	"18,410"										
31-33	Manufacturing	325100	Basic Chemical Manufacturing	Chemical Equipment Operators and Tenders	"18,390"										
51	Information	518200	"Data Processing, Hosting, and Related Services"	Computer Systems Analysts	"18,390"										
21	Mining	213100	Support Activities for Mining	"Derrick Operators, Oil and Gas"	"18,390"										
81	"Other Services (except Federal, State, and Local Government)"	812100	Personal Care Services	First-Line Supervisors of Personal Service Workers	"18,360"										
52	Finance and Insurance	524200	"Agencies, Brokerages, and Other Insurance Related Activities"	Insurance Underwriters	"18,350"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624400	Child Day Care Services	"Cooks, Institution and Cafeteria"	"18,340"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	"18,300"										
42	Wholesale Trade	425100	Wholesale Electronic Markets and Agents and Brokers	Stock Clerks and Order Fillers	"18,280"										
31-33	Manufacturing	336400	Aerospace Product and Parts Manufacturing	Aircraft Mechanics and Service Technicians	"18,270"										
23	Construction	238300	Building Finishing Contractors	"Insulation Workers, Floor, Ceiling, and Wall"	"18,270"										
56	Administrative and Support and Waste Management and Remediation Services	561100	Office Administrative Services	First-Line Supervisors of Office and Administrative Support Workers	"18,240"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623300	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly	Recreation Workers	"18,230"										
54	"Professional, Scientific, and Technical Services"	541200	"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"	Customer Service Representatives	"18,210"										
23	Construction	238100	"Foundation, Structure, and Building Exterior Contractors"	"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"	"18,140"										
48-49	Transportation and Warehousing	492200	Local Messengers and Local Delivery	Light Truck or Delivery Services Drivers	"18,110"										
21	Mining	211100	Oil and Gas Extraction	Petroleum Engineers	"18,100"										
23	Construction	237100	Utility System Construction	"Plumbers, Pipefitters, and Steamfitters"	"18,100"										
